y,u
0.00000000,0.00000000
0.00100100,0.00015931
0.00200200,0.00031863
0.00300300,0.00047794
0.00400400,0.00063724
0.00500501,0.00079654
0.00600601,0.00095583
0.00700701,0.00111511
0.00800801,0.00127438
0.00900901,0.00143364
0.01001001,0.00159288
0.01101101,0.00175211
0.01201201,0.00191132
0.01301301,0.00207051
0.01401401,0.00222968
0.01501502,0.00238883
0.01601602,0.00254795
0.01701702,0.00270705
0.01801802,0.00286612
0.01901902,0.00302517
0.02002002,0.00318418
0.02102102,0.00334317
0.02202202,0.00350212
0.02302302,0.00366103
0.02402402,0.00381991
0.02502503,0.00397875
0.02602603,0.00413756
0.02702703,0.00429632
0.02802803,0.00445504
0.02902903,0.00461371
0.03003003,0.00477234
0.03103103,0.00493092
0.03203203,0.00508945
0.03303303,0.00524794
0.03403403,0.00540637
0.03503504,0.00556475
0.03603604,0.00572307
0.03703704,0.00588133
0.03803804,0.00603954
0.03903904,0.00619769
0.04004004,0.00635578
0.04104104,0.00651380
0.04204204,0.00667176
0.04304304,0.00682965
0.04404404,0.00698748
0.04504505,0.00714523
0.04604605,0.00730292
0.04704705,0.00746053
0.04804805,0.00761807
0.04904905,0.00777554
0.05005005,0.00793293
0.05105105,0.00809024
0.05205205,0.00824747
0.05305305,0.00840461
0.05405405,0.00856168
0.05505506,0.00871866
0.05605606,0.00887555
0.05705706,0.00903236
0.05805806,0.00918907
0.05905906,0.00934570
0.06006006,0.00950223
0.06106106,0.00965867
0.06206206,0.00981502
0.06306306,0.00997126
0.06406406,0.01012741
0.06506507,0.01028346
0.06606607,0.01043941
0.06706707,0.01059525
0.06806807,0.01075099
0.06906907,0.01090662
0.07007007,0.01106214
0.07107107,0.01121756
0.07207207,0.01137286
0.07307307,0.01152805
0.07407407,0.01168313
0.07507508,0.01183809
0.07607608,0.01199294
0.07707708,0.01214766
0.07807808,0.01230227
0.07907908,0.01245675
0.08008008,0.01261112
0.08108108,0.01276535
0.08208208,0.01291946
0.08308308,0.01307345
0.08408408,0.01322730
0.08508509,0.01338102
0.08608609,0.01353461
0.08708709,0.01368807
0.08808809,0.01384139
0.08908909,0.01399457
0.09009009,0.01414762
0.09109109,0.01430052
0.09209209,0.01445329
0.09309309,0.01460591
0.09409409,0.01475839
0.09509510,0.01491072
0.09609610,0.01506290
0.09709710,0.01521493
0.09809810,0.01536682
0.09909910,0.01551855
0.10010010,0.01567013
0.10110110,0.01582155
0.10210210,0.01597282
0.10310310,0.01612393
0.10410410,0.01627488
0.10510511,0.01642567
0.10610611,0.01657629
0.10710711,0.01672676
0.10810811,0.01687705
0.10910911,0.01702718
0.11011011,0.01717714
0.11111111,0.01732694
0.11211211,0.01747656
0.11311311,0.01762600
0.11411411,0.01777528
0.11511512,0.01792437
0.11611612,0.01807329
0.11711712,0.01822204
0.11811812,0.01837060
0.11911912,0.01851898
0.12012012,0.01866717
0.12112112,0.01881519
0.12212212,0.01896301
0.12312312,0.01911065
0.12412412,0.01925810
0.12512513,0.01940536
0.12612613,0.01955243
0.12712713,0.01969930
0.12812813,0.01984598
0.12912913,0.01999246
0.13013013,0.02013874
0.13113113,0.02028483
0.13213213,0.02043072
0.13313313,0.02057640
0.13413413,0.02072188
0.13513514,0.02086715
0.13613614,0.02101222
0.13713714,0.02115708
0.13813814,0.02130173
0.13913914,0.02144617
0.14014014,0.02159040
0.14114114,0.02173442
0.14214214,0.02187822
0.14314314,0.02202180
0.14414414,0.02216517
0.14514515,0.02230831
0.14614615,0.02245124
0.14714715,0.02259394
0.14814815,0.02273642
0.14914915,0.02287868
0.15015015,0.02302071
0.15115115,0.02316251
0.15215215,0.02330408
0.15315315,0.02344542
0.15415415,0.02358654
0.15515516,0.02372741
0.15615616,0.02386805
0.15715716,0.02400846
0.15815816,0.02414863
0.15915916,0.02428856
0.16016016,0.02442825
0.16116116,0.02456770
0.16216216,0.02470690
0.16316316,0.02484587
0.16416416,0.02498458
0.16516517,0.02512305
0.16616617,0.02526127
0.16716717,0.02539924
0.16816817,0.02553696
0.16916917,0.02567442
0.17017017,0.02581164
0.17117117,0.02594859
0.17217217,0.02608529
0.17317317,0.02622174
0.17417417,0.02635792
0.17517518,0.02649384
0.17617618,0.02662950
0.17717718,0.02676490
0.17817818,0.02690003
0.17917918,0.02703490
0.18018018,0.02716950
0.18118118,0.02730383
0.18218218,0.02743789
0.18318318,0.02757168
0.18418418,0.02770520
0.18518519,0.02783844
0.18618619,0.02797141
0.18718719,0.02810410
0.18818819,0.02823651
0.18918919,0.02836864
0.19019019,0.02850050
0.19119119,0.02863207
0.19219219,0.02876335
0.19319319,0.02889436
0.19419419,0.02902508
0.19519520,0.02915551
0.19619620,0.02928565
0.19719720,0.02941550
0.19819820,0.02954506
0.19919920,0.02967433
0.20020020,0.02980331
0.20120120,0.02993199
0.20220220,0.03006037
0.20320320,0.03018846
0.20420420,0.03031625
0.20520521,0.03044374
0.20620621,0.03057093
0.20720721,0.03069782
0.20820821,0.03082440
0.20920921,0.03095068
0.21021021,0.03107665
0.21121121,0.03120231
0.21221221,0.03132767
0.21321321,0.03145272
0.21421421,0.03157745
0.21521522,0.03170187
0.21621622,0.03182598
0.21721722,0.03194978
0.21821822,0.03207326
0.21921922,0.03219642
0.22022022,0.03231926
0.22122122,0.03244178
0.22222222,0.03256399
0.22322322,0.03268587
0.22422422,0.03280743
0.22522523,0.03292866
0.22622623,0.03304957
0.22722723,0.03317015
0.22822823,0.03329040
0.22922923,0.03341032
0.23023023,0.03352991
0.23123123,0.03364917
0.23223223,0.03376810
0.23323323,0.03388670
0.23423423,0.03400496
0.23523524,0.03412288
0.23623624,0.03424047
0.23723724,0.03435771
0.23823824,0.03447462
0.23923924,0.03459119
0.24024024,0.03470741
0.24124124,0.03482329
0.24224224,0.03493883
0.24324324,0.03505402
0.24424424,0.03516886
0.24524525,0.03528336
0.24624625,0.03539751
0.24724725,0.03551130
0.24824825,0.03562475
0.24924925,0.03573784
0.25025025,0.03585059
0.25125125,0.03596297
0.25225225,0.03607500
0.25325325,0.03618668
0.25425425,0.03629799
0.25525526,0.03640895
0.25625626,0.03651954
0.25725726,0.03662978
0.25825826,0.03673965
0.25925926,0.03684916
0.26026026,0.03695831
0.26126126,0.03706709
0.26226226,0.03717550
0.26326326,0.03728355
0.26426426,0.03739123
0.26526527,0.03749853
0.26626627,0.03760547
0.26726727,0.03771204
0.26826827,0.03781823
0.26926927,0.03792404
0.27027027,0.03802949
0.27127127,0.03813455
0.27227227,0.03823924
0.27327327,0.03834356
0.27427427,0.03844749
0.27527528,0.03855104
0.27627628,0.03865421
0.27727728,0.03875700
0.27827828,0.03885940
0.27927928,0.03896142
0.28028028,0.03906306
0.28128128,0.03916431
0.28228228,0.03926517
0.28328328,0.03936564
0.28428428,0.03946573
0.28528529,0.03956542
0.28628629,0.03966473
0.28728729,0.03976364
0.28828829,0.03986215
0.28928929,0.03996028
0.29029029,0.04005800
0.29129129,0.04015534
0.29229229,0.04025227
0.29329329,0.04034881
0.29429429,0.04044494
0.29529530,0.04054068
0.29629630,0.04063602
0.29729730,0.04073095
0.29829830,0.04082549
0.29929930,0.04091961
0.30030030,0.04101334
0.30130130,0.04110666
0.30230230,0.04119957
0.30330330,0.04129207
0.30430430,0.04138417
0.30530531,0.04147585
0.30630631,0.04156713
0.30730731,0.04165799
0.30830831,0.04174845
0.30930931,0.04183849
0.31031031,0.04192811
0.31131131,0.04201733
0.31231231,0.04210612
0.31331331,0.04219450
0.31431431,0.04228246
0.31531532,0.04237001
0.31631632,0.04245714
0.31731732,0.04254384
0.31831832,0.04263013
0.31931932,0.04271599
0.32032032,0.04280143
0.32132132,0.04288645
0.32232232,0.04297104
0.32332332,0.04305521
0.32432432,0.04313895
0.32532533,0.04322227
0.32632633,0.04330516
0.32732733,0.04338762
0.32832833,0.04346965
0.32932933,0.04355125
0.33033033,0.04363242
0.33133133,0.04371316
0.33233233,0.04379347
0.33333333,0.04387334
0.33433433,0.04395278
0.33533534,0.04403179
0.33633634,0.04411036
0.33733734,0.04418849
0.33833834,0.04426619
0.33933934,0.04434345
0.34034034,0.04442027
0.34134134,0.04449665
0.34234234,0.04457259
0.34334334,0.04464809
0.34434434,0.04472315
0.34534535,0.04479776
0.34634635,0.04487194
0.34734735,0.04494567
0.34834835,0.04501895
0.34934935,0.04509179
0.35035035,0.04516419
0.35135135,0.04523613
0.35235235,0.04530763
0.35335335,0.04537869
0.35435435,0.04544929
0.35535536,0.04551944
0.35635636,0.04558915
0.35735736,0.04565840
0.35835836,0.04572720
0.35935936,0.04579555
0.36036036,0.04586345
0.36136136,0.04593089
0.36236236,0.04599788
0.36336336,0.04606441
0.36436436,0.04613049
0.36536537,0.04619611
0.36636637,0.04626127
0.36736737,0.04632598
0.36836837,0.04639023
0.36936937,0.04645402
0.37037037,0.04651735
0.37137137,0.04658022
0.37237237,0.04664263
0.37337337,0.04670458
0.37437437,0.04676607
0.37537538,0.04682709
0.37637638,0.04688766
0.37737738,0.04694775
0.37837838,0.04700739
0.37937938,0.04706656
0.38038038,0.04712526
0.38138138,0.04718350
0.38238238,0.04724127
0.38338338,0.04729857
0.38438438,0.04735541
0.38538539,0.04741177
0.38638639,0.04746767
0.38738739,0.04752310
0.38838839,0.04757806
0.38938939,0.04763255
0.39039039,0.04768657
0.39139139,0.04774011
0.39239239,0.04779319
0.39339339,0.04784579
0.39439439,0.04789792
0.39539540,0.04794957
0.39639640,0.04800075
0.39739740,0.04805146
0.39839840,0.04810169
0.39939940,0.04815144
0.40040040,0.04820072
0.40140140,0.04824952
0.40240240,0.04829785
0.40340340,0.04834569
0.40440440,0.04839306
0.40540541,0.04843995
0.40640641,0.04848636
0.40740741,0.04853230
0.40840841,0.04857775
0.40940941,0.04862272
0.41041041,0.04866721
0.41141141,0.04871122
0.41241241,0.04875475
0.41341341,0.04879779
0.41441441,0.04884035
0.41541542,0.04888243
0.41641642,0.04892403
0.41741742,0.04896514
0.41841842,0.04900577
0.41941942,0.04904591
0.42042042,0.04908557
0.42142142,0.04912475
0.42242242,0.04916343
0.42342342,0.04920164
0.42442442,0.04923935
0.42542543,0.04927658
0.42642643,0.04931332
0.42742743,0.04934957
0.42842843,0.04938534
0.42942943,0.04942061
0.43043043,0.04945540
0.43143143,0.04948970
0.43243243,0.04952351
0.43343343,0.04955683
0.43443443,0.04958965
0.43543544,0.04962199
0.43643644,0.04965384
0.43743744,0.04968520
0.43843844,0.04971606
0.43943944,0.04974644
0.44044044,0.04977632
0.44144144,0.04980571
0.44244244,0.04983461
0.44344344,0.04986301
0.44444444,0.04989092
0.44544545,0.04991834
0.44644645,0.04994527
0.44744745,0.04997170
0.44844845,0.04999763
0.44944945,0.05002307
0.45045045,0.05004802
0.45145145,0.05007247
0.45245245,0.05009643
0.45345345,0.05011989
0.45445445,0.05014286
0.45545546,0.05016533
0.45645646,0.05018730
0.45745746,0.05020878
0.45845846,0.05022976
0.45945946,0.05025024
0.46046046,0.05027023
0.46146146,0.05028972
0.46246246,0.05030871
0.46346346,0.05032721
0.46446446,0.05034521
0.46546547,0.05036270
0.46646647,0.05037971
0.46746747,0.05039621
0.46846847,0.05041221
0.46946947,0.05042772
0.47047047,0.05044273
0.47147147,0.05045724
0.47247247,0.05047125
0.47347347,0.05048476
0.47447447,0.05049777
0.47547548,0.05051028
0.47647648,0.05052229
0.47747748,0.05053381
0.47847848,0.05054482
0.47947948,0.05055533
0.48048048,0.05056535
0.48148148,0.05057486
0.48248248,0.05058387
0.48348348,0.05059239
0.48448448,0.05060040
0.48548549,0.05060791
0.48648649,0.05061492
0.48748749,0.05062144
0.48848849,0.05062745
0.48948949,0.05063296
0.49049049,0.05063796
0.49149149,0.05064247
0.49249249,0.05064648
0.49349349,0.05064999
0.49449449,0.05065299
0.49549550,0.05065550
0.49649650,0.05065750
0.49749750,0.05065901
0.49849850,0.05066001
0.49949950,0.05066051
0.50050050,0.05066051
0.50150150,0.05066001
0.50250250,0.05065901
0.50350350,0.05065750
0.50450450,0.05065550
0.50550551,0.05065299
0.50650651,0.05064999
0.50750751,0.05064648
0.50850851,0.05064247
0.50950951,0.05063796
0.51051051,0.05063296
0.51151151,0.05062745
0.51251251,0.05062144
0.51351351,0.05061492
0.51451451,0.05060791
0.51551552,0.05060040
0.51651652,0.05059239
0.51751752,0.05058387
0.51851852,0.05057486
0.51951952,0.05056535
0.52052052,0.05055533
0.52152152,0.05054482
0.52252252,0.05053381
0.52352352,0.05052229
0.52452452,0.05051028
0.52552553,0.05049777
0.52652653,0.05048476
0.52752753,0.05047125
0.52852853,0.05045724
0.52952953,0.05044273
0.53053053,0.05042772
0.53153153,0.05041221
0.53253253,0.05039621
0.53353353,0.05037971
0.53453453,0.05036270
0.53553554,0.05034521
0.53653654,0.05032721
0.53753754,0.05030871
0.53853854,0.05028972
0.53953954,0.05027023
0.54054054,0.05025024
0.54154154,0.05022976
0.54254254,0.05020878
0.54354354,0.05018730
0.54454454,0.05016533
0.54554555,0.05014286
0.54654655,0.05011989
0.54754755,0.05009643
0.54854855,0.05007247
0.54954955,0.05004802
0.55055055,0.05002307
0.55155155,0.04999763
0.55255255,0.04997170
0.55355355,0.04994527
0.55455455,0.04991834
0.55555556,0.04989092
0.55655656,0.04986301
0.55755756,0.04983461
0.55855856,0.04980571
0.55955956,0.04977632
0.56056056,0.04974644
0.56156156,0.04971606
0.56256256,0.04968520
0.56356356,0.04965384
0.56456456,0.04962199
0.56556557,0.04958965
0.56656657,0.04955683
0.56756757,0.04952351
0.56856857,0.04948970
0.56956957,0.04945540
0.57057057,0.04942061
0.57157157,0.04938534
0.57257257,0.04934957
0.57357357,0.04931332
0.57457457,0.04927658
0.57557558,0.04923935
0.57657658,0.04920164
0.57757758,0.04916343
0.57857858,0.04912475
0.57957958,0.04908557
0.58058058,0.04904591
0.58158158,0.04900577
0.58258258,0.04896514
0.58358358,0.04892403
0.58458458,0.04888243
0.58558559,0.04884035
0.58658659,0.04879779
0.58758759,0.04875475
0.58858859,0.04871122
0.58958959,0.04866721
0.59059059,0.04862272
0.59159159,0.04857775
0.59259259,0.04853230
0.59359359,0.04848636
0.59459459,0.04843995
0.59559560,0.04839306
0.59659660,0.04834569
0.59759760,0.04829785
0.59859860,0.04824952
0.59959960,0.04820072
0.60060060,0.04815144
0.60160160,0.04810169
0.60260260,0.04805146
0.60360360,0.04800075
0.60460460,0.04794957
0.60560561,0.04789792
0.60660661,0.04784579
0.60760761,0.04779319
0.60860861,0.04774011
0.60960961,0.04768657
0.61061061,0.04763255
0.61161161,0.04757806
0.61261261,0.04752310
0.61361361,0.04746767
0.61461461,0.04741177
0.61561562,0.04735541
0.61661662,0.04729857
0.61761762,0.04724127
0.61861862,0.04718350
0.61961962,0.04712526
0.62062062,0.04706656
0.62162162,0.04700739
0.62262262,0.04694775
0.62362362,0.04688766
0.62462462,0.04682709
0.62562563,0.04676607
0.62662663,0.04670458
0.62762763,0.04664263
0.62862863,0.04658022
0.62962963,0.04651735
0.63063063,0.04645402
0.63163163,0.04639023
0.63263263,0.04632598
0.63363363,0.04626127
0.63463463,0.04619611
0.63563564,0.04613049
0.63663664,0.04606441
0.63763764,0.04599788
0.63863864,0.04593089
0.63963964,0.04586345
0.64064064,0.04579555
0.64164164,0.04572720
0.64264264,0.04565840
0.64364364,0.04558915
0.64464464,0.04551944
0.64564565,0.04544929
0.64664665,0.04537869
0.64764765,0.04530763
0.64864865,0.04523613
0.64964965,0.04516419
0.65065065,0.04509179
0.65165165,0.04501895
0.65265265,0.04494567
0.65365365,0.04487194
0.65465465,0.04479776
0.65565566,0.04472315
0.65665666,0.04464809
0.65765766,0.04457259
0.65865866,0.04449665
0.65965966,0.04442027
0.66066066,0.04434345
0.66166166,0.04426619
0.66266266,0.04418849
0.66366366,0.04411036
0.66466466,0.04403179
0.66566567,0.04395278
0.66666667,0.04387334
0.66766767,0.04379347
0.66866867,0.04371316
0.66966967,0.04363242
0.67067067,0.04355125
0.67167167,0.04346965
0.67267267,0.04338762
0.67367367,0.04330516
0.67467467,0.04322227
0.67567568,0.04313895
0.67667668,0.04305521
0.67767768,0.04297104
0.67867868,0.04288645
0.67967968,0.04280143
0.68068068,0.04271599
0.68168168,0.04263013
0.68268268,0.04254384
0.68368368,0.04245714
0.68468468,0.04237001
0.68568569,0.04228246
0.68668669,0.04219450
0.68768769,0.04210612
0.68868869,0.04201733
0.68968969,0.04192811
0.69069069,0.04183849
0.69169169,0.04174845
0.69269269,0.04165799
0.69369369,0.04156713
0.69469469,0.04147585
0.69569570,0.04138417
0.69669670,0.04129207
0.69769770,0.04119957
0.69869870,0.04110666
0.69969970,0.04101334
0.70070070,0.04091961
0.70170170,0.04082549
0.70270270,0.04073095
0.70370370,0.04063602
0.70470470,0.04054068
0.70570571,0.04044494
0.70670671,0.04034881
0.70770771,0.04025227
0.70870871,0.04015534
0.70970971,0.04005800
0.71071071,0.03996028
0.71171171,0.03986215
0.71271271,0.03976364
0.71371371,0.03966473
0.71471471,0.03956542
0.71571572,0.03946573
0.71671672,0.03936564
0.71771772,0.03926517
0.71871872,0.03916431
0.71971972,0.03906306
0.72072072,0.03896142
0.72172172,0.03885940
0.72272272,0.03875700
0.72372372,0.03865421
0.72472472,0.03855104
0.72572573,0.03844749
0.72672673,0.03834356
0.72772773,0.03823924
0.72872873,0.03813455
0.72972973,0.03802949
0.73073073,0.03792404
0.73173173,0.03781823
0.73273273,0.03771204
0.73373373,0.03760547
0.73473473,0.03749853
0.73573574,0.03739123
0.73673674,0.03728355
0.73773774,0.03717550
0.73873874,0.03706709
0.73973974,0.03695831
0.74074074,0.03684916
0.74174174,0.03673965
0.74274274,0.03662978
0.74374374,0.03651954
0.74474474,0.03640895
0.74574575,0.03629799
0.74674675,0.03618668
0.74774775,0.03607500
0.74874875,0.03596297
0.74974975,0.03585059
0.75075075,0.03573784
0.75175175,0.03562475
0.75275275,0.03551130
0.75375375,0.03539751
0.75475475,0.03528336
0.75575576,0.03516886
0.75675676,0.03505402
0.75775776,0.03493883
0.75875876,0.03482329
0.75975976,0.03470741
0.76076076,0.03459119
0.76176176,0.03447462
0.76276276,0.03435771
0.76376376,0.03424047
0.76476476,0.03412288
0.76576577,0.03400496
0.76676677,0.03388670
0.76776777,0.03376810
0.76876877,0.03364917
0.76976977,0.03352991
0.77077077,0.03341032
0.77177177,0.03329040
0.77277277,0.03317015
0.77377377,0.03304957
0.77477477,0.03292866
0.77577578,0.03280743
0.77677678,0.03268587
0.77777778,0.03256399
0.77877878,0.03244178
0.77977978,0.03231926
0.78078078,0.03219642
0.78178178,0.03207326
0.78278278,0.03194978
0.78378378,0.03182598
0.78478478,0.03170187
0.78578579,0.03157745
0.78678679,0.03145272
0.78778779,0.03132767
0.78878879,0.03120231
0.78978979,0.03107665
0.79079079,0.03095068
0.79179179,0.03082440
0.79279279,0.03069782
0.79379379,0.03057093
0.79479479,0.03044374
0.79579580,0.03031625
0.79679680,0.03018846
0.79779780,0.03006037
0.79879880,0.02993199
0.79979980,0.02980331
0.80080080,0.02967433
0.80180180,0.02954506
0.80280280,0.02941550
0.80380380,0.02928565
0.80480480,0.02915551
0.80580581,0.02902508
0.80680681,0.02889436
0.80780781,0.02876335
0.80880881,0.02863207
0.80980981,0.02850050
0.81081081,0.02836864
0.81181181,0.02823651
0.81281281,0.02810410
0.81381381,0.02797141
0.81481481,0.02783844
0.81581582,0.02770520
0.81681682,0.02757168
0.81781782,0.02743789
0.81881882,0.02730383
0.81981982,0.02716950
0.82082082,0.02703490
0.82182182,0.02690003
0.82282282,0.02676490
0.82382382,0.02662950
0.82482482,0.02649384
0.82582583,0.02635792
0.82682683,0.02622174
0.82782783,0.02608529
0.82882883,0.02594859
0.82982983,0.02581164
0.83083083,0.02567442
0.83183183,0.02553696
0.83283283,0.02539924
0.83383383,0.02526127
0.83483483,0.02512305
0.83583584,0.02498458
0.83683684,0.02484587
0.83783784,0.02470690
0.83883884,0.02456770
0.83983984,0.02442825
0.84084084,0.02428856
0.84184184,0.02414863
0.84284284,0.02400846
0.84384384,0.02386805
0.84484484,0.02372741
0.84584585,0.02358654
0.84684685,0.02344542
0.84784785,0.02330408
0.84884885,0.02316251
0.84984985,0.02302071
0.85085085,0.02287868
0.85185185,0.02273642
0.85285285,0.02259394
0.85385385,0.02245124
0.85485485,0.02230831
0.85585586,0.02216517
0.85685686,0.02202180
0.85785786,0.02187822
0.85885886,0.02173442
0.85985986,0.02159040
0.86086086,0.02144617
0.86186186,0.02130173
0.86286286,0.02115708
0.86386386,0.02101222
0.86486486,0.02086715
0.86586587,0.02072188
0.86686687,0.02057640
0.86786787,0.02043072
0.86886887,0.02028483
0.86986987,0.02013874
0.87087087,0.01999246
0.87187187,0.01984598
0.87287287,0.01969930
0.87387387,0.01955243
0.87487487,0.01940536
0.87587588,0.01925810
0.87687688,0.01911065
0.87787788,0.01896301
0.87887888,0.01881519
0.87987988,0.01866717
0.88088088,0.01851898
0.88188188,0.01837060
0.88288288,0.01822204
0.88388388,0.01807329
0.88488488,0.01792437
0.88588589,0.01777528
0.88688689,0.01762600
0.88788789,0.01747656
0.88888889,0.01732694
0.88988989,0.01717714
0.89089089,0.01702718
0.89189189,0.01687705
0.89289289,0.01672676
0.89389389,0.01657629
0.89489489,0.01642567
0.89589590,0.01627488
0.89689690,0.01612393
0.89789790,0.01597282
0.89889890,0.01582155
0.89989990,0.01567013
0.90090090,0.01551855
0.90190190,0.01536682
0.90290290,0.01521493
0.90390390,0.01506290
0.90490490,0.01491072
0.90590591,0.01475839
0.90690691,0.01460591
0.90790791,0.01445329
0.90890891,0.01430052
0.90990991,0.01414762
0.91091091,0.01399457
0.91191191,0.01384139
0.91291291,0.01368807
0.91391391,0.01353461
0.91491491,0.01338102
0.91591592,0.01322730
0.91691692,0.01307345
0.91791792,0.01291946
0.91891892,0.01276535
0.91991992,0.01261112
0.92092092,0.01245675
0.92192192,0.01230227
0.92292292,0.01214766
0.92392392,0.01199294
0.92492492,0.01183809
0.92592593,0.01168313
0.92692693,0.01152805
0.92792793,0.01137286
0.92892893,0.01121756
0.92992993,0.01106214
0.93093093,0.01090662
0.93193193,0.01075099
0.93293293,0.01059525
0.93393393,0.01043941
0.93493493,0.01028346
0.93593594,0.01012741
0.93693694,0.00997126
0.93793794,0.00981502
0.93893894,0.00965867
0.93993994,0.00950223
0.94094094,0.00934570
0.94194194,0.00918907
0.94294294,0.00903236
0.94394394,0.00887555
0.94494494,0.00871866
0.94594595,0.00856168
0.94694695,0.00840461
0.94794795,0.00824747
0.94894895,0.00809024
0.94994995,0.00793293
0.95095095,0.00777554
0.95195195,0.00761807
0.95295295,0.00746053
0.95395395,0.00730292
0.95495495,0.00714523
0.95595596,0.00698748
0.95695696,0.00682965
0.95795796,0.00667176
0.95895896,0.00651380
0.95995996,0.00635578
0.96096096,0.00619769
0.96196196,0.00603954
0.96296296,0.00588133
0.96396396,0.00572307
0.96496496,0.00556475
0.96596597,0.00540637
0.96696697,0.00524794
0.96796797,0.00508945
0.96896897,0.00493092
0.96996997,0.00477234
0.97097097,0.00461371
0.97197197,0.00445504
0.97297297,0.00429632
0.97397397,0.00413756
0.97497497,0.00397875
0.97597598,0.00381991
0.97697698,0.00366103
0.97797798,0.00350212
0.97897898,0.00334317
0.97997998,0.00318418
0.98098098,0.00302517
0.98198198,0.00286612
0.98298298,0.00270705
0.98398398,0.00254795
0.98498498,0.00238883
0.98598599,0.00222968
0.98698699,0.00207051
0.98798799,0.00191132
0.98898899,0.00175211
0.98998999,0.00159288
0.99099099,0.00143364
0.99199199,0.00127438
0.99299299,0.00111511
0.99399399,0.00095583
0.99499499,0.00079654
0.99599600,0.00063724
0.99699700,0.00047794
0.99799800,0.00031863
0.99899900,0.00015931
1.00000000,0.00000000
